vel,ang,dist
0.2,0,0.285423186009855
0.2,1,0.285450801932446
0.2,2,0.285391419507584
0.2,3,0.285244991883217
0.2,4,0.285011498832005
0.2,5,0.284690946836649
0.2,6,0.284283369166928
0.2,7,0.283788825948327
0.2,8,0.283207404222127
0.2,9,0.282539217996852
0.2,10,0.281784408290957
0.2,11,0.280943143166646
0.2,12,0.280015617754724
0.2,13,0.279002054270362
0.2,14,0.277902702019705
0.2,15,0.276717837397194
0.2,16,0.275447763873545
0.2,17,0.274092811974270
0.2,18,0.272653339248678
0.2,19,0.271129730229266
0.2,20,0.269522396381430
0.2,21,0.267831776043423
0.2,22,0.266058334356510
0.2,23,0.264202563185235
0.2,24,0.262264981027769
0.2,25,0.260246132916280
0.2,26,0.258146590307278
0.2,27,0.255966950961897
0.2,28,0.253707838816092
0.2,29,0.251369903840704
0.2,30,0.248953821891383
0.2,31,0.246460294548356
0.2,32,0.243890048946012
0.2,33,0.241243837592325
0.2,34,0.238522438178085
0.2,35,0.235726653375981
0.2,36,0.232857310629509
0.2,37,0.229915261931763
0.2,38,0.226901383594109
0.2,39,0.223816576004785
0.2,40,0.220661763377461
0.2,41,0.217437893489813
0.2,42,0.214145937412155
0.2,43,0.210786889226183
0.2,44,0.207361765733910
0.2,45,0.203871606156848
0.2,46,0.200317471825526
0.2,47,0.196700445859424
0.2,48,0.193021632837405
0.2,49,0.189282158458764
0.2,50,0.185483169194975
0.2,51,0.181625831932257
0.2,52,0.177711333605077
0.2,53,0.173740880820711
0.2,54,0.169715699474988
0.2,55,0.165637034359358
0.2,56,0.161506148759431
0.2,57,0.157324324045117
0.2,58,0.153092859252545
0.2,59,0.148813070657900
0.2,60,0.144486291343361
0.2,61,0.140113870755300
0.2,62,0.135697174254925
0.2,63,0.131237582661553
0.2,64,0.126736491788693
0.2,65,0.122195311973149
0.2,66,0.117615467597320
0.2,67,0.112998396604929
0.2,68,0.108345550010361
0.2,69,0.103658391401855
0.2,70,0.0989383964387481
0.2,71,0.0941870523429973
0.2,72,0.0894058573852220
0.2,73,0.0845963203654842
0.2,74,0.0797599600890505
0.2,75,0.0748983048373755
0.2,76,0.0700128918345506
0.2,77,0.0651052667094657
0.2,78,0.0601769829539361
0.2,79,0.0552296013770480
0.2,80,0.0502646895559811
0.2,81,0.0452838212835672
0.2,82,0.0402885760128486
0.2,83,0.0352805382989009
0.2,84,0.0302612972381882
0.2,85,0.0252324459057190
0.2,86,0.0201955807902742
0.2,87,0.0151523012279801
0.2,88,0.0101042088345000
0.2,89,0.00505290693611936
0.4,0,0.570846372019710
0.4,1,0.571043813783925
0.4,2,0.571067191714566
0.4,3,0.570916238637430
0.4,4,0.570590740727700
0.4,5,0.570090537893090
0.4,6,0.569415524140517
0.4,7,0.568565647925803
0.4,8,0.567540912485890
0.4,9,0.566341376153096
0.4,10,0.564967152650903
0.4,11,0.563418411370801
0.4,12,0.561695377629707
0.4,13,0.559798332907496
0.4,14,0.557727615064172
0.4,15,0.555483618536243
0.4,16,0.553066794511829
0.4,17,0.550477651084101
0.4,18,0.547716753382611
0.4,19,0.544784723682099
0.4,20,0.541682241488386
0.4,21,0.538410043600972
0.4,22,0.534968924151950
0.4,23,0.531359734620885
0.4,24,0.527583383825319
0.4,25,0.523640837886564
0.4,26,0.519533120170471
0.4,27,0.515261311202883
0.4,28,0.510826548559477
0.4,29,0.506230026729756
0.4,30,0.501472996954918
0.4,31,0.496556767039393
0.4,32,0.491482701135834
0.4,33,0.486252219503375
0.4,34,0.480866798238984
0.4,35,0.475327968981761
0.4,36,0.469637318590062
0.4,37,0.463796488791329
